City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
192,Talcahuano,CL,2020-11-28 04:50:15,-36.72,-73.12,55.4,87,25,8.05
193,Maragogi,BR,2020-11-28 04:48:04,-9.01,-35.22,76.87,74,83,9.75
194,Udachnyy,RU,2020-11-28 04:51:55,66.42,112.4,-2.2,91,75,4.47
195,Mersing,MY,2020-11-28 04:51:55,2.43,103.84,73.4,100,40,6.11
196,Otradnoye,RU,2020-11-28 04:51:55,59.78,30.82,35.6,80,90,11.18
197,Omsukchan,RU,2020-11-28 04:51:56,62.53,155.8,-3.75,88,100,5.61
198,Hervey Bay,AU,2020-11-28 04:45:22,-25.3,152.85,82.99,42,0,11.41
199,Butaritari,KI,2020-11-28 04:44:49,3.07,172.79,82.56,78,46,13.8
200,Celestun,MX,2020-11-28 04:51:56,20.87,-90.4,75.11,82,1,12.48
201,Talnakh,RU,2020-11-28 04:44:54,69.49,88.4,10.4,85,100,22.37
202,Hasaki,JP,2020-11-28 04:42:37,35.73,140.83,64.0,44,20,9.17
203,Kuliyapitiya,LK,2020-11-28 04:51:56,7.47,80.04,86.0,66,20,2.24
204,Whitehorse,CA,2020-11-28 04:47:09,60.72,-135.05,15.8,85,75,4.7
205,Mandan,US,2020-11-28 04:42:48,46.83,-100.89,37.0,64,1,6.93
206,Matara,LK,2020-11-28 04:51:57,5.95,80.54,86.74,60,44,1.74
207,Hun,LY,2020-11-28 04:51:57,29.13,15.95,56.48,49,0,11.34
208,Lubango,AO,2020-11-28 04:51:57,-14.92,13.49,61.93,85,60,1.54
209,Leshukonskoye,RU,2020-11-28 04:51:57,64.9,45.76,15.46,96,48,4.97
210,Bathsheba,BB,2020-11-28 04:44:33,13.22,-59.52,77.0,94,75,14.99
211,Narsaq,GL,2020-11-28 04:44:50,60.92,-46.05,30.2,54,100,19.46
212,Komsomolskiy,UZ,2020-11-28 04:44:33,40.43,71.72,39.2,69,75,25.28
213,Kahului,US,2020-11-28 04:44:13,20.89,-156.47,78.8,61,40,10.29
214,Touros,BR,2020-11-28 04:44:59,-5.2,-35.46,77.0,78,40,5.82
215,Mackenzie,CA,2020-11-28 04:51:58,55.3,-123.17,24.8,79,90,4.7
216,Zdunska Wola,PL,2020-11-28 04:51:58,51.6,18.94,35.01,91,100,1.01
